Method, Filter, Result
IQR, J0395, 0.131
IQR, gSDSS, 0.0935
IQR, J0515, 0.066
IQR, rSDSS, 0.0655
IQR, J0660, 0.0545
IQR, iSDSS, 0.060000000000000005
IQR, J0861, 0.0565
IQR Weighted, J0395, 4.071251856091446
IQR Weighted, gSDSS, 122.51847659445133
IQR Weighted, J0515, 17.204677703807324
IQR Weighted, rSDSS, 105.04111787436301
IQR Weighted, J0660, 36.32349117332883
IQR Weighted, iSDSS, 74.29138411339873
IQR Weighted, J0861, 31.19293623320846
ETA, J0395, 1.6904857518987213
ETA, gSDSS, 1.0853853551693868
ETA, J0515, 1.2032328671625339
ETA, rSDSS, 1.0886858579430316
ETA, J0660, 1.1149182664609436
ETA, iSDSS, 0.9769116016872826
ETA, J0861, 0.822196706013085
ETA Weighted, J0395, 1.7364034665633705
ETA Weighted, gSDSS, 4.256273527313685
ETA Weighted, J0515, 2.362352659494992
ETA Weighted, rSDSS, 3.4550759764750962
ETA Weighted, J0660, 2.6509891292605277
ETA Weighted, iSDSS, 2.515851656316295
ETA Weighted, J0861, 2.474544343211638
Sigma Weighted, J0395, 0.2380419498612996
Sigma Weighted, gSDSS, 0.18116428124305028
Sigma Weighted, J0515, 0.15941343091999313
Sigma Weighted, rSDSS, 0.1251239410171159
Sigma Weighted, J0660, 0.12292105254720649
Sigma Weighted, iSDSS, 0.10757189976595864
Sigma Weighted, J0861, 0.09750315880292132
MAD, J0395, 0.22683779999999998
MAD, gSDSS, 0.133434
MAD, J0515, 0.12453840000000001
MAD, rSDSS, 0.08450819999999999
MAD, J0660, 0.0934038
MAD, iSDSS, 0.07857779999999999
MAD, J0861, 0.0904386
Variance NXS, J0395, 42.51764363398754
Variance NXS, gSDSS, 84.03525917159764
Variance NXS, J0515, 26.01793130156079
Variance NXS, rSDSS, 133.66640000000004
Variance NXS, J0660, 137.97303030303024
Variance NXS, iSDSS, 2715.262543252604
Variance NXS, J0861, 6407.543981481528
Peak to Peak, J0395, -9.044943820224717
Peak to Peak, gSDSS, -21.514285714285727
Peak to Peak, J0515, -2.7219251336898393
Peak to Peak, rSDSS, -19.07142857142855
Peak to Peak, J0660, -149.00000000000128
Peak to Peak, iSDSS, -5.022471910112361
Peak to Peak, J0861, 352.99999999999966
Lag-1 Autocorrelation, J0395, nan
Lag-1 Autocorrelation, gSDSS, 0.5524594906988936
Lag-1 Autocorrelation, J0515, 0.5384774710652068
Lag-1 Autocorrelation, rSDSS, 0.5364264062732563
Lag-1 Autocorrelation, J0660, 0.49406410380555815
Lag-1 Autocorrelation, iSDSS, 0.5018142077188728
Lag-1 Autocorrelation, J0861, nan

