Method, Filter, Result
IQR, J0395, 0.02
IQR, gSDSS, 0.027
IQR, J0515, 0.0875
IQR, rSDSS, 0.025500000000000002
IQR, J0660, 0.031
IQR, iSDSS, 0.014
IQR, J0861, 0.025
IQR Weighted, J0395, 0.23138507103521685
IQR Weighted, gSDSS, 3.5260770975056692
IQR Weighted, J0515, 4.397075710480715
IQR Weighted, rSDSS, 6.720494389972956
IQR Weighted, J0660, 8.195898310617284
IQR Weighted, iSDSS, 2.6473952325065397
IQR Weighted, J0861, 3.9975276211079347
ETA, J0395, 0.25748887082226196
ETA, gSDSS, 0.42441224292465207
ETA, J0515, 0.47843066200284673
ETA, rSDSS, 1.1294429071680807
ETA, J0660, 0.39587133306602873
ETA, iSDSS, 0.47316187627374284
ETA, J0861, 0.44131491635532755
ETA Weighted, J0395, 0.6183736884703909
ETA Weighted, gSDSS, 0.33963611521374476
ETA Weighted, J0515, 0.48611515966169216
ETA Weighted, rSDSS, 1.4825170477753609
ETA Weighted, J0660, 0.4683054485742131
ETA Weighted, iSDSS, 0.5677060245231614
ETA Weighted, J0861, 0.5049982313554306
Sigma Weighted, J0395, 0.23437081290714695
Sigma Weighted, gSDSS, 0.0716578704966224
Sigma Weighted, J0515, 0.14783507899939793
Sigma Weighted, rSDSS, 0.06270121807898718
Sigma Weighted, J0660, 0.053129968619742285
Sigma Weighted, iSDSS, 0.06259075310957386
Sigma Weighted, J0861, 0.06014631430582658
MAD, J0395, 0.21927999999999997
MAD, gSDSS, 0.06554732510288065
MAD, J0515, 0.11350347222222223
MAD, rSDSS, 0.08136000000000002
MAD, J0660, 0.04699039780521262
MAD, iSDSS, 0.04889285714285715
MAD, J0861, 0.05695473251028807
Variance NXS, J0395, -0.9638173764308582
Variance NXS, gSDSS, -3.332800000000152
Variance NXS, J0515, 0.6476216459719984
Variance NXS, rSDSS, 8.2361127457519
Variance NXS, J0660, -83.36450911725639
Variance NXS, iSDSS, -18771.644628099304
Variance NXS, J0861, -15.133899999999995
Peak to Peak, J0395, 0.31271477663230257
Peak to Peak, gSDSS, -3.0909090909090913
Peak to Peak, J0515, 1.6451612903225807
Peak to Peak, rSDSS, -1.2148760330578514
Peak to Peak, J0660, 31.49999999999997
Peak to Peak, iSDSS, -5.0930232558139545
Peak to Peak, J0861, 2.5172413793103448
Lag-1 Autocorrelation, J0395, -619959760096299.5
Lag-1 Autocorrelation, gSDSS, -911193589771140.5
Lag-1 Autocorrelation, J0515, nan
Lag-1 Autocorrelation, rSDSS, 892117459313550.4
Lag-1 Autocorrelation, J0660, -328846108542262.0
Lag-1 Autocorrelation, iSDSS, 102260443225760.47
Lag-1 Autocorrelation, J0861, 223405941195309.53

