Method, Filter, Result
IQR, J0395, 0.151
IQR, gSDSS, 0.09
IQR, J0515, 0.095
IQR, rSDSS, 0.074
IQR, J0660, 0.076
IQR, iSDSS, 0.099
IQR, J0861, 0.086
IQR Weighted, J0395, 372.50630099534374
IQR Weighted, gSDSS, 3125.0
IQR Weighted, J0515, 960.4122028364454
IQR Weighted, rSDSS, 2794.4214876033056
IQR Weighted, J0660, 1690.0
IQR Weighted, iSDSS, 2227.5
IQR Weighted, J0861, 2906.446280991736
ETA, J0395, 1.0272156686310612
ETA, gSDSS, 0.9727989449341912
ETA, J0515, 1.0197762065474407
ETA, rSDSS, 1.0932305016928436
ETA, J0660, 1.053413518830747
ETA, iSDSS, 0.9700201347408444
ETA, J0861, 0.9725770795882981
ETA Weighted, J0395, 14.837960785483647
ETA Weighted, gSDSS, 26.511920444897378
ETA Weighted, J0515, 21.369302838462836
ETA Weighted, rSDSS, 27.792717167929364
ETA Weighted, J0660, 26.889975133516867
ETA Weighted, iSDSS, 23.41234400236565
ETA Weighted, J0861, 20.148925235598956
Sigma Weighted, J0395, 0.24381279985127624
Sigma Weighted, gSDSS, 0.18668887472619472
Sigma Weighted, J0515, 0.17354510295938502
Sigma Weighted, rSDSS, 0.13211523145113876
Sigma Weighted, J0660, 0.11832726660517169
Sigma Weighted, iSDSS, 0.10411449038257586
Sigma Weighted, J0861, 0.09433459671369186
MAD, J0395, 0.2565
MAD, gSDSS, 0.1605
MAD, J0515, 0.14650000000000002
MAD, rSDSS, 0.1065
MAD, J0660, 0.0885
MAD, iSDSS, 0.082
MAD, J0861, 0.063
Variance NXS, J0395, 149.94368431489187
Variance NXS, gSDSS, 29.363783462224873
Variance NXS, J0515, 18.815810079133698
Variance NXS, rSDSS, 12.550767143422478
Variance NXS, J0660, 11.312321471330199
Variance NXS, iSDSS, 14.331920842395212
Variance NXS, J0861, 7.567671966590773
Peak to Peak, J0395, 7.417582417582416
Peak to Peak, gSDSS, 6.358024691358025
Peak to Peak, J0515, 3.8307692307692305
Peak to Peak, rSDSS, 3.407407407407408
Peak to Peak, J0660, 2.9310344827586206
Peak to Peak, iSDSS, 2.8476190476190477
Peak to Peak, J0861, 2.5752212389380533
Lag-1 Autocorrelation, J0395, 5.16081222057696e+30
Lag-1 Autocorrelation, gSDSS, 1.9717654471922048e+32
Lag-1 Autocorrelation, J0515, 4.721161949134056e+31
Lag-1 Autocorrelation, rSDSS, 2.721701024093917e+30
Lag-1 Autocorrelation, J0660, 9.737817444601077e+30
Lag-1 Autocorrelation, iSDSS, 9.06616150252691e+32
Lag-1 Autocorrelation, J0861, 1.5760081048744545e+31

