Method, Filter, Result
IQR, J0395, 0.026
IQR, gSDSS, 0.0245
IQR, J0515, 0.0915
IQR, rSDSS, 0.025
IQR, J0660, 0.024999999999999998
IQR, iSDSS, 0.0275
IQR, J0861, 0.033
IQR Weighted, J0395, 0.2980641584579844
IQR Weighted, gSDSS, 4.562321139846945
IQR Weighted, J0515, 5.696659960313564
IQR Weighted, rSDSS, 5.345829085604965
IQR Weighted, J0660, 3.1069842579464266
IQR Weighted, iSDSS, 5.191352714631042
IQR Weighted, J0861, 5.306539924371529
ETA, J0395, 0.3645990322836518
ETA, gSDSS, 0.40506633105282297
ETA, J0515, 0.7428079794690943
ETA, rSDSS, 0.3745869203791778
ETA, J0660, 0.5127432454206501
ETA, iSDSS, 0.38578150414653045
ETA, J0861, 0.49065457602377494
ETA Weighted, J0395, 0.9338379140363293
ETA Weighted, gSDSS, 0.23881862398093887
ETA Weighted, J0515, 0.7426948887607117
ETA Weighted, rSDSS, 0.13021223435581955
ETA Weighted, J0660, 0.525619229122987
ETA Weighted, iSDSS, 0.4884294858039781
ETA Weighted, J0861, 0.3034360783339911

