Method, Filter, Result
IQR, J0395, 0.139
IQR, gSDSS, 0.3815
IQR, J0515, 0.3045
IQR, rSDSS, 0.20850000000000002
IQR, J0660, 0.157
IQR, iSDSS, 0.08750000000000001
IQR, J0861, 0.036000000000000004
IQR Weighted, J0395, 0.007722
IQR Weighted, gSDSS, 0.009258500000000001
IQR Weighted, J0515, 0.0110815
IQR Weighted, rSDSS, 0.005958
IQR Weighted, J0660, 0.002666
IQR Weighted, iSDSS, 0.005418
IQR Weighted, J0861, 0.004064
ETA, J0395, 1.350741351545217
ETA, gSDSS, 2.5988415550893476
ETA, J0515, 2.732502337742862
ETA, rSDSS, 2.89340881659109
ETA, J0660, 0.8635911478306543
ETA, iSDSS, 2.2756911600936847
ETA, J0861, 1.526241123626513
ETA Weighted, J0395, 1.3943128245191896
ETA Weighted, gSDSS, 0.9539262954266899
ETA Weighted, J0515, 0.9971931312082155
ETA Weighted, rSDSS, 0.9882291968088208
ETA Weighted, J0660, 0.6790168084371923
ETA Weighted, iSDSS, 1.1346768774321723
ETA Weighted, J0861, 0.8628136168140504

